name,molecule_chembl_id,smiles,ic50_nM
CHEMBL5987331,CHEMBL5987331,COc1cc(C2(NC(=O)[C@@H](CC3CCCCC3)NC(=N)NC(=O)Cc3ccc(OC)c(OC)c3)CC2)ccc1F,15.0
CHEMBL2408756,CHEMBL2408756,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(CC(C)(F)F)cc21,16.0
CHEMBL4455874,CHEMBL4455874,CC(=O)NCCCC[C@@H]1NC(=O)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCCCNC1=O,16.0
CHEMBL4746757,CHEMBL4746757,CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(C(F)(F)F)c2)c1.O=C(O)C(F)(F)F,16.0
CHEMBL3321928,CHEMBL3321928,COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)ccc1F,17.0
CHEMBL2031143,CHEMBL2031143,CC(=O)N[C@@H](Cc1ccc(F)c(F)c1)[C@H](O)CN[C@H]1C[C@]2(C[C@H](C)C2)Oc2ncc(CC(C)(C)C)cc21,17.0
CHEMBL2181023,CHEMBL2181023,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](N)C(C)C,17.3
CHEMBL3946374,CHEMBL3946374,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)Cc1cccc(OC(F)(F)F)c1)C(C)C)C(=O)N[C@H](C(=O)OC)C(C)C,18.0
CHEMBL5184970,CHEMBL5184970,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccc(OC(C)(C)C)cc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,18.0
CHEMBL4755364,CHEMBL4755364,CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2cc(Cl)cc(C(F)(F)F)c2)c1.O=C(O)C(F)(F)F,18.0
